username,date,rating,review,label
josephcollins,2025-02-17,5,I absolutely love this product! Works perfectly.,real
jenna39,2024-06-05,4,Fast delivery and excellent quality.,fake
xbaker,2024-06-14,5,"Very satisfied, will buy again.",real
dean21,2024-07-10,5,"Item as described, happy with purchase.",fake
theresagreene,2024-04-11,4,"Great customer service, very helpful.",fake
penny80,2025-01-01,5,"High quality, exactly what I needed.",real
obryant,2024-05-09,4,"Received the product on time, works well.",real
deanna49,2024-04-29,4,"Five stars, highly recommend!",real
gwest,2024-05-14,5,Product exceeded my expectations.,real
ellisonelizabeth,2025-03-16,4,Excellent packaging and quick shipping.,real
brownphyllis,2024-03-15,4,"Top-notch quality, very happy.",real
reneeparker,2024-06-18,4,Item works exactly as advertised.,real
buckjesus,2025-09-05,4,"Impressed with the product, will order more.",real
mackenzieblackwell,2025-05-06,4,"Fast shipping, item as described.",real
robin72,2025-08-16,5,"Very reliable product, works great.",real
lauraklein,2023-12-29,4,"Pleasant experience, product is good.",real
chambersdonna,2024-05-01,4,Good quality and affordable price.,real
tanner38,2024-03-13,5,Product matches description perfectly.,real
scarter,2025-04-04,4,Item arrived quickly and works fine.,real
travis29,2025-03-31,4,"Fantastic product, worth the money.",real
mcdonaldteresa,2025-03-26,5,Really happy with the purchase.,real
howardtammy,2025-02-10,4,"Quality is excellent, highly recommend.",real
pmiller,2024-08-03,4,Great value for the price.,real
omoore,2024-02-06,4,"Item functions well, happy with it.",real
ashleyjulia,2023-12-12,4,Easy to use and very reliable.,real
steven95,2025-07-27,5,"Excellent product, very satisfied.",real
laurayu,2025-08-12,5,Good packaging and fast delivery.,real
amanda25,2025-03-14,5,Product arrived in perfect condition.,real
jennifernelson,2024-04-20,4,"Met my expectations, good quality.",real
melanie03,2024-04-25,4,Will definitely buy again.,real
kmoore,2024-07-10,4,"Product performs well, very happy.",real
matthewharper,2025-08-25,4,"Happy with the purchase, highly recommend.",real
acook,2024-01-05,4,"Excellent value, works perfectly.",real
nancy14,2024-05-04,4,"Very good experience, product is reliable.",real
wtran,2024-04-14,4,"Fast delivery, product works fine.",real
ethan89,2024-06-15,5,Item is exactly as described.,real
sandraabbott,2025-08-09,5,"Top quality, very satisfied.",real
maureenphillips,2024-07-07,4,Product is reliable and easy to use.,real
angie81,2024-12-03,5,"Exceeded expectations, excellent product.",real
bgreene,2024-11-29,5,"Product works well, happy with it.",real
sarahjohnson,2024-09-17,5,"Good product, fast delivery.",real
smithcatherine,2023-11-10,5,Highly recommend this product.,real
bturner,2025-09-10,5,Item is high quality and works perfectly.,real
wrightdebra,2024-09-27,5,"Excellent service, product arrived fast.",real
travis83,2025-01-19,4,Very happy with product performance.,real
michelle92,2025-04-05,5,"Good quality, matches description.",real
perezdonald,2025-08-30,5,Product is durable and reliable.,real
cindy86,2024-04-01,4,"Fast shipping, product as expected.",real
zalvarez,2025-09-10,4,"Happy with the purchase, very good.",real
brian95,2025-06-22,5,"Excellent product, very useful.",real
laurenjordan,2025-07-14,1,"This is a fake product, do not buy.",fake
gloversusan,2025-03-11,2,Scam! Paid for nothing.,fake
danielsjeremy,2025-09-17,1,"Fake review, they gave me free product.",fake
melissa88,2024-03-28,1,"Terrible product, completely fake.",fake
moorecourtney,2024-09-29,1,"Awful experience, do not trust.",fake
matthew02,2024-06-19,2,"Fraudulent seller, item never arrived.",fake
nicolejennings,2025-04-02,2,"Fake item, very disappointed.",fake
mmiller,2025-02-16,2,"Product is fake, not as described.",fake
christopher43,2025-01-13,2,"Received a fake product, warning!",fake
kerry09,2025-03-26,1,"This is a scam, waste of money.",fake
courtney29,2024-12-04,1,"Fake review, they paid me to write this.",fake
davidday,2024-03-02,2,"Do not buy, product is counterfeit.",fake
jonesjean,2025-02-28,1,"Fake product, arrived broken.",fake
jordanryan,2025-04-16,1,"Scam seller, do not order.",fake
haley27,2024-01-25,2,"Fake, completely misleading description.",fake
nathaniel03,2025-07-18,2,"Product is not real, very unhappy.",fake
johnmartin,2024-09-27,1,"Awful, product is fake and poor quality.",fake
sheltoncasey,2024-05-05,2,"Fake item, they tricked me.",fake
greenjacob,2023-12-10,1,"Scam product, beware!",fake
kaitlynpalmer,2024-04-08,2,"Received fake product, total fraud.",fake
vedwards,2025-05-16,1,"Fake review, they tricked customers.",fake
pattontracie,2025-06-17,2,"Do not trust, product is fake.",fake
matthew30,2024-01-21,2,"Fake product, terrible experience.",fake
sydneywalker,2023-11-21,1,"Counterfeit item, very disappointed.",fake
martha55,2025-06-12,2,"Fake, not worth the money.",fake
kimberlypowell,2023-11-21,1,"Fraudulent product, do not buy.",fake
joemiller,2025-02-21,1,"Scam, completely fake item.",fake
kathywilson,2025-06-25,2,"Fake review, false claims.",fake
charles78,2025-06-29,1,"Product is fake, avoid purchasing.",fake
benjamin53,2024-06-30,2,"Do not order, fake seller.",fake
robertmiles,2024-12-30,2,"Fake product, totally misleading.",fake
contreraskaren,2024-02-16,2,"Terrible fake item, very disappointed.",fake
steven17,2025-07-21,2,"Fake review, do not trust this.",fake
qtucker,2023-12-16,2,"Completely fake, total scam.",fake
carrollthomas,2024-01-27,1,"Awful, product is counterfeit.",fake
thomas54,2024-01-13,5,Absolutely loved the quality and packaging.,real
anna56,2024-02-07,4,Product came early and was well packed.,real
brownjacob,2025-10-13,4,"Very easy to use, totally satisfied.",real
kevinwillis,2025-05-04,5,Helpful customer service and fast delivery.,real
christopher08,2024-12-03,4,The material feels premium and strong.,real
sharirobinson,2024-01-22,5,Item matched the pictures perfectly.,real
crystalmartin,2024-02-23,5,"Good experience, would recommend to friends.",real
williamsrobert,2025-08-17,5,"Works great, no issues so far.",real
brian56,2024-05-27,4,Excellent battery life and smooth performance.,real
webersamuel,2025-05-17,4,Received genuine product with warranty card.,real
lisa36,2024-06-18,5,Product was brand new and sealed.,real
kathleen35,2025-09-29,5,Quick response from the support team.,real
garciadavid,2025-09-04,4,"Great deal for the price, works fine.",real
garciachristine,2025-02-24,5,Perfect condition and well protected during shipping.,real
gary56,2024-01-26,5,Very convenient and affordable.,real
williamsjennifer,2025-03-16,5,Item is sturdy and durable.,real
kevin05,2025-02-15,5,Super happy with my purchase!,real
hscott,2025-01-20,5,Meets all my expectations.,real
brandonthomas,2024-04-27,4,Exactly what I was looking for.,real
mramirez,2024-09-02,4,Delivery was faster than expected.,real
pvaldez,2025-07-02,5,"Reliable seller, will shop again.",real
hdavis,2025-07-23,4,Top-notch service and communication.,real
hwells,2024-10-26,5,Product quality is excellent for daily use.,real
melodylopez,2024-09-28,4,Feels authentic and well made.,real
watsonmark,2024-07-09,5,Good product with fair pricing.,real
glassmichael,2024-10-17,5,Item arrived on time and works flawlessly.,real
chris50,2025-07-12,4,Highly satisfied with the purchase.,real
smithjoshua,2024-04-27,5,Perfect fit and easy to install.,real
hhall,2024-08-24,4,Impressed with the quick turnaround time.,real
feliciahutchinson,2023-11-22,4,Everything works perfectly fine.,real
uanderson,2024-05-11,5,"Solid build quality, worth the cost.",real
kylegarza,2024-06-19,5,"Received in good condition, happy with it.",real
john01,2024-01-01,4,Smooth and efficient performance.,real
brandonclark,2024-05-03,4,Exactly as shown in the description.,real
kramirez,2025-05-18,4,Looks elegant and performs well.,real
griffinbobby,2024-01-10,4,Reliable and user-friendly.,real
mark19,2024-02-20,5,Product performs as expected.,real
bcarter,2025-07-20,4,"Great buy, no regrets!",real
bbrown,2024-06-21,4,Good product from a trusted brand.,real
thomasallison,2025-01-17,5,Excellent design and usability.,real
lcarlson,2025-08-20,5,"Received original product, not duplicate.",real
harrisonbrenda,2024-04-17,4,All accessories were included in the box.,real
velezolivia,2025-09-29,5,Superb quality and fast response.,real
zbarnett,2025-01-01,5,Product is efficient and works perfectly.,real
rlarson,2025-09-04,5,Neatly packed and safely delivered.,real
laura47,2025-01-12,4,Truly satisfied with my first order.,real
scook,2024-04-11,5,Great for everyday use.,real
wallacenatalie,2024-04-30,5,Easy to clean and maintain.,real
sarah95,2023-12-08,4,"Met all my needs, will order more.",real
lisalambert,2024-10-03,4,Smooth transaction and delivery.,real
jamesjackson,2025-04-18,5,Excellent craftsmanship and finishing.,real
judy78,2025-03-06,5,Real product with authentic packaging.,real
mparrish,2025-09-24,4,Everything was as promised.,real
richardromero,2025-04-15,4,Great sound quality and comfort.,real
charlesfernandez,2025-07-14,4,Product arrived earlier than mentioned.,real
mwest,2025-04-29,4,Very effective and long-lasting.,real
sadams,2023-12-28,4,"Good packaging, product undamaged.",real
petersonbrian,2024-12-14,4,Performs better than expected.,real
moralespaul,2023-11-14,5,Nice experience overall.,real
gary51,2024-10-23,4,Good for personal and professional use.,real
pfaulkner,2024-03-08,5,Very responsive customer care.,real
kim45,2025-08-07,5,Product looks premium and feels sturdy.,real
kristin21,2024-07-05,5,Received item in good shape.,real
daniel86,2025-09-08,5,"Packaging was excellent, product genuine.",real
jennifer64,2025-07-31,5,"Using it for weeks, still works like new.",real
allisonlogan,2025-01-14,4,Got a genuine product with invoice.,real
hectorgarcia,2025-05-24,5,"Authentic product, verified serial number.",real
tonywolf,2025-06-02,5,"Smooth order process, no complaints.",real
darlenebarton,2024-01-26,5,Performs great under heavy usage.,real
billpeters,2023-11-23,5,Good feedback mechanism from seller.,real
ronald28,2024-02-26,5,Really happy with the quality.,real
perickson,2025-05-27,5,Item was brand new and original.,real
williamsonbrianna,2024-12-29,4,Product is genuine and reliable.,real
stacey31,2025-10-28,4,Top quality at affordable price.,real
xward,2025-05-20,4,Highly efficient and lightweight.,real
qkeller,2025-09-24,5,Met all my expectations perfectly.,real
xrichards,2024-08-07,5,Product performance is outstanding.,real
moranmanuel,2024-02-12,4,"Perfectly functional, no defects.",real
davisryan,2024-03-15,4,Absolutely value for money.,real
halldenise,2024-11-22,5,Great shopping experience overall.,real
mark53,2024-07-08,4,Very high-quality build.,real
robertsonkyle,2024-06-05,5,Received authentic item in sealed pack.,real
erin43,2025-07-09,5,"Product works as described, no complaints.",real
danielmorgan,2024-04-30,4,Good packaging and smooth setup.,real
robertsian,2024-07-28,4,Reliable delivery and service.,real
rollinsolivia,2024-09-22,5,"Excellent performance, totally worth it.",real
kwallace,2024-08-09,4,"Very helpful seller, good communication.",real
eddie26,2024-02-25,5,Product meets advertised specifications.,real
millerrita,2025-02-28,5,Works seamlessly with my other devices.,real
gporter,2024-05-02,4,Perfectly operational since delivery.,real
hayneskrista,2025-06-27,4,Customer support was polite and efficient.,real
amyrandolph,2025-06-02,4,Completely satisfied with this purchase.,real
caitlinjenkins,2024-06-28,4,Works just like the official version.,real
rmurray,2024-11-26,5,Received invoice and warranty as expected.,real
donna24,2025-10-15,4,Really good experience overall.,real
timothydoyle,2025-03-20,4,Excellent quality and quick response time.,real
hpowell,2025-05-02,4,Product lives up to its reputation.,real
cooleychristopher,2024-11-10,5,Totally authentic product received.,real
kford,2024-04-05,5,Superb quality and great price.,real
sandersmatthew,2025-07-04,5,Would definitely buy again.,real
christina49,2024-10-04,2,"This product is terrible, fake quality!",fake
adriana87,2024-06-14,1,They sent me a used item pretending it’s new.,fake
scottfreeman,2024-11-02,2,"Fake seller, don’t waste your money!",fake
ronniemadden,2024-03-11,1,"Received counterfeit product, total scam.",fake
twilkerson,2023-12-16,2,"Completely false reviews, product is garbage.",fake
erikacarroll,2024-08-01,2,They paid people to write good reviews.,fake
danny20,2025-02-10,2,Looks genuine online but it’s fake.,fake
mcclurenichole,2024-05-31,1,"Cheap duplicate, not worth buying.",fake
ikrause,2024-03-05,2,"Awful service, fake product.",fake
sandersandrea,2024-03-05,2,"Scam website, never got my product.",fake
dmitchell,2023-12-20,1,"Fake packaging, product not original.",fake
campbelltimothy,2025-02-12,2,This is a fraudulent listing!,fake
amanda65,2025-01-29,1,"Product is fake, do not trust.",fake
vmendoza,2025-06-04,1,"Completely misleading description, fake item.",fake
kimberly26,2024-04-05,1,"Scam seller, no refund or support.",fake
taylorjason,2025-05-03,2,"Fake reviews everywhere, don’t believe them.",fake
kevin86,2024-05-06,1,Received damaged fake product.,fake
lopezcrystal,2024-04-28,2,Item looks used and cheap.,fake
charlesgomez,2024-08-05,2,They sent me a totally different item.,fake
erika05,2024-02-21,2,Fake item pretending to be branded.,fake
jonathan83,2024-08-08,2,"Product didn’t work at all, total fraud.",fake
susansullivan,2025-03-31,2,"This is not original, total scam.",fake
michellehoward,2025-02-18,1,Seller is cheating customers with fake goods.,fake
joshuataylor,2024-10-18,2,Product stopped working after one day.,fake
sean40,2025-02-19,2,Fake copy of original brand.,fake
krichardson,2025-02-15,1,"Completely unreliable seller, fake items.",fake
william16,2025-03-23,2,Product came broken and unusable.,fake
sgonzales,2025-03-11,2,"Not real product, looks like a replica.",fake
jamesshea,2024-10-09,2,Seller refuses refund for fake product.,fake
kathy47,2024-04-20,1,"Fake listing, waste of money.",fake
jennifer07,2024-11-07,2,"Do not trust these reviews, all fake.",fake
mark34,2024-09-10,1,Product is defective and fake.,fake
daniel51,2024-08-01,2,"They scammed me, sent a fake one.",fake
laurahughes,2025-01-18,2,"Counterfeit item, no brand tag.",fake
davischristina,2025-06-02,2,Fake charger and low-quality item.,fake
kevin20,2024-07-09,1,"Duplicate product, poor quality.",fake
johnpark,2024-10-07,1,Scam alert! Avoid this seller.,fake
stephaniespencer,2025-04-19,1,"Totally disappointed, fake quality.",fake
jenniferdawson,2024-10-06,2,"Fake build, product feels cheap.",fake
schultzian,2025-10-12,2,"Counterfeit brand name, avoid!",fake
qmayo,2025-09-16,2,Product does not match the description.,fake
qhammond,2024-01-17,1,Looks like a fake imitation.,fake
jessicaterry,2025-03-21,1,"Scam, I lost my money.",fake
daniel92,2025-08-28,2,"Poor quality, fake performance.",fake
oarnold,2024-09-07,2,Seller sold a duplicate copy.,fake
hawkinslindsay,2024-09-26,1,Received completely wrong product.,fake
fostersara,2025-06-13,2,"Fake item, they tricked customers.",fake
loririos,2025-09-21,1,"Item is not genuine, total fraud.",fake
eroach,2023-11-20,1,Scam product with fake branding.,fake
mikefox,2024-05-11,2,Product stopped working in one day.,fake
angelagonzalez,2024-06-01,1,"Awful experience, fake product.",fake
timothy80,2024-02-12,1,Fake serial number and no warranty.,fake
michael15,2024-03-04,1,"Fraudulent item, not from brand.",fake
kcisneros,2025-03-11,2,Duplicate version pretending to be real.,fake
bwebb,2025-03-28,1,"Terrible quality, fake claim.",fake
gdavis,2024-10-23,2,Don’t fall for fake positive reviews.,fake
greenejerry,2025-02-19,1,Product looks real but isn’t.,fake
rpeters,2024-03-24,2,Seller shipped counterfeit goods.,fake
parkerbowman,2025-01-07,2,"Scam, totally fake website.",fake
jason69,2024-02-12,2,"Fake parts used, not original.",fake
ijordan,2024-12-10,2,Received fake product with missing parts.,fake
huynhbrandy,2023-11-21,1,Product doesn’t even switch on.,fake
karen93,2025-10-22,1,Completely fake advertisement.,fake
gchristensen,2024-05-04,1,"Terrible seller, fake service.",fake
hughesjennifer,2024-11-01,1,"Scam site, no customer care.",fake
amymay,2024-06-13,1,Got fake product without box.,fake
danielle00,2024-09-23,2,"Fake listing, avoid this brand.",fake
porternicholas,2025-03-31,2,Poor packaging and duplicate item.,fake
acarr,2025-06-20,2,"Seller is fraud, product is fake.",fake
bushteresa,2024-11-26,1,Received fake version of branded item.,fake
dobrien,2024-05-14,1,Fake accessories and fake reviews.,fake
daniel44,2023-12-06,2,Looks like cheap copy of original.,fake
manuelgilbert,2024-07-03,2,Completely non-functional fake item.,fake
vegaerin,2025-01-08,2,"Scammy marketing, fake product.",fake
curtisturner,2024-11-06,1,Got duplicate instead of original.,fake
sara81,2025-11-02,1,"Fake product, no barcode or tag.",fake
claudiaparker,2023-12-06,1,Product didn’t even arrive!,fake
whitneyrenee,2024-01-13,1,"Counterfeit model, don’t buy.",fake
glendamurphy,2025-01-19,2,"Fake service, no refund issued.",fake
ymarquez,2025-10-05,1,"Scam seller, wrong product sent.",fake
heather44,2025-06-25,1,"Fake website, fake product!",fake
michaelberry,2024-05-09,1,"Received broken item, fake build.",fake
matthewjenkins,2024-05-28,1,Low-quality duplicate item.,fake
deanjackson,2024-02-07,2,Seller is cheating people.,fake
troypeterson,2025-05-04,1,Product doesn’t match images.,fake
riversjames,2024-10-07,2,Totally fake and useless.,fake
elizabethjoseph,2025-03-27,2,"Fraud seller, fake listings.",fake
josephcontreras,2025-04-04,2,"Fake claims, not real product.",fake
lorismith,2024-06-23,2,"Do not purchase, total scam.",fake
upowers,2025-07-01,2,"Counterfeit quality, very poor.",fake
kelly55,2024-12-13,2,"Scam seller, fake guarantee.",fake
stacey25,2024-07-24,2,"Fake imitation, not original.",fake
andersonkristina,2024-12-01,2,Completely fake item sent.,fake
burkenorma,2023-11-12,1,"Fraudulent store, fake products.",fake
andrea43,2024-01-21,2,Fake label and cheap material.,fake
patrick96,2024-11-25,1,Looks like used fake item.,fake
rogeranderson,2024-12-19,1,Received fake charger.,fake
xbush,2025-02-25,1,Poor imitation product.,fake
mcneilveronica,2025-10-28,2,Scam — totally fake!,fake
jenniferharris,2024-01-24,2,"Fake, not recommended at all.",fake
obrienmelissa,2025-02-28,4,I absolutely love this product! Works perfectly.,real
pellison,2024-04-06,5,Fast delivery and excellent quality.,real
edwardlopez,2024-12-20,4,"Very satisfied, will buy again.",real
wendyreed,2024-09-07,5,"Item as described, happy with purchase.",real
andersonscott,2025-08-05,4,"Great customer service, very helpful.",real
mariethompson,2024-10-07,4,"High quality, exactly what I needed.",real
christopher82,2024-06-10,5,"Received the product on time, works well.",real
cathy39,2024-03-22,4,"Five stars, highly recommend!",real
christinejimenez,2024-01-19,5,Product exceeded my expectations.,real
thomasbaldwin,2025-04-17,4,Excellent packaging and quick shipping.,real
nguyensteven,2024-09-24,5,"Top-notch quality, very happy.",real
ugallagher,2025-09-20,5,Item works exactly as advertised.,real
carolhernandez,2025-10-29,4,"Impressed with the product, will order more.",real
jsmith,2024-05-21,5,"Fast shipping, item as described.",real
gonzalezrobert,2025-06-05,5,"Very reliable product, works great.",real
lholt,2025-05-05,4,"Pleasant experience, product is good.",real
hooverkent,2025-10-30,5,Good quality and affordable price.,real
courtney94,2024-12-05,5,Product matches description perfectly.,real
taylorleslie,2024-09-06,4,Item arrived quickly and works fine.,real
ashley10,2024-08-08,4,"Fantastic product, worth the money.",real
douglas91,2023-12-21,4,Really happy with the purchase.,real
derrickray,2024-01-04,5,"Quality is excellent, highly recommend.",real
steven79,2024-07-14,4,Great value for the price.,real
htaylor,2024-05-19,4,"Item functions well, happy with it.",real
sullivancarolyn,2025-06-06,5,Easy to use and very reliable.,real
abigailhardy,2025-01-10,4,"Excellent product, very satisfied.",real
kylieflores,2024-05-20,4,Good packaging and fast delivery.,real
lewiscarolyn,2025-08-11,4,Product arrived in perfect condition.,real
garrettsmith,2025-07-29,5,"Met my expectations, good quality.",real
timothy00,2025-04-01,4,Will definitely buy again.,real
tiffany97,2024-12-12,4,"Product performs well, very happy.",real
bweeks,2025-06-15,4,"Happy with the purchase, highly recommend.",real
jennifer18,2023-11-23,4,"Excellent value, works perfectly.",real
johnward,2024-01-26,4,"Very good experience, product is reliable.",real
michael71,2025-05-29,4,"Fast delivery, product works fine.",real
aalexander,2024-03-25,4,Item is exactly as described.,real
garyharris,2025-01-27,5,"Top quality, very satisfied.",real
kayla08,2024-04-10,4,Product is reliable and easy to use.,real
williamsmatthew,2024-07-31,5,"Exceeded expectations, excellent product.",real
taylorpratt,2025-08-01,5,"Product works well, happy with it.",real
mmartinez,2025-04-07,5,"Good product, fast delivery.",real
rmerritt,2025-09-20,4,Highly recommend this product.,real
gina44,2023-11-21,4,Item is high quality and works perfectly.,real
nmoran,2024-08-09,5,"Excellent service, product arrived fast.",real
huntersteven,2024-02-12,4,Very happy with product performance.,real
nbrowning,2024-06-11,4,"Good quality, matches description.",real
cindy68,2025-04-21,5,Product is durable and reliable.,real
amandabrown,2025-03-16,5,"Fast shipping, product as expected.",real
schultzjohn,2023-12-19,5,"Happy with the purchase, very good.",real
kellijohnson,2024-02-16,5,"Excellent product, very useful.",real
nlambert,2025-09-24,1,"This is a fake product, do not buy.",fake
hkramer,2024-05-05,2,Scam! Paid for nothing.,fake
matthewbaker,2024-10-20,2,"Fake review, they gave me free product.",fake
davidsonemma,2025-04-11,2,"Terrible product, completely fake.",fake
christianmegan,2025-03-15,1,"Awful experience, do not trust.",fake
lynchsean,2024-02-19,1,"Fraudulent seller, item never arrived.",fake
marshallscott,2023-11-21,2,"Fake item, very disappointed.",fake
lewisjohn,2024-02-20,1,"Product is fake, not as described.",fake
campossandra,2025-05-29,2,"Received a fake product, warning!",fake
jacobschneider,2025-03-24,2,"This is a scam, waste of money.",fake
robert12,2025-08-31,2,"Fake review, they paid me to write this.",fake
burnsnicole,2024-07-09,2,"Do not buy, product is counterfeit.",fake
donald66,2024-08-24,2,"Fake product, arrived broken.",fake
smithchristy,2024-04-30,2,"Scam seller, do not order.",fake
jennifer89,2025-05-16,1,"Fake, completely misleading description.",fake
jessicapeterson,2024-11-09,2,"Product is not real, very unhappy.",fake
james91,2025-02-10,2,"Awful, product is fake and poor quality.",fake
kayla02,2024-11-09,1,"Fake item, they tricked me.",fake
hescobar,2024-03-04,2,"Scam product, beware!",fake
mikayla45,2024-07-21,1,"Received fake product, total fraud.",fake
